true_label,feature,delta_sign,mdri_base,mdri_mut,mdri_change
Healthy,Standard Deviation (SD),minus,29.9997,29.9997,0.0000
Healthy,Standard Deviation (SD),plus,29.9997,29.9995,-0.0001
Healthy,Integrated EMG (IEMG),minus,29.9997,29.9998,0.0002
Healthy,Integrated EMG (IEMG),plus,29.9997,29.9994,-0.0002
Healthy,Turn Count (TC),minus,29.9997,30.0000,0.0003
Healthy,Turn Count (TC),plus,29.9997,29.9906,-0.0090
Healthy,Willison Amplitude (WAMP),minus,29.9997,29.9998,0.0002
Healthy,Willison Amplitude (WAMP),plus,29.9997,29.9996,-0.0000
Healthy,Motor Unit Action Potential (MUAP),minus,29.9997,29.9927,-0.0070
Healthy,Motor Unit Action Potential (MUAP),plus,29.9997,30.0000,0.0003
Healthy,Total Power (TP),minus,29.9997,29.9848,-0.0149
Healthy,Total Power (TP),plus,29.9997,30.0000,0.0003
Healthy,Variance of Central Frequency (VCF),minus,29.9997,30.0000,0.0003
Healthy,Variance of Central Frequency (VCF),plus,29.9997,29.9876,-0.0121
Healthy,RMS Envelope (RMSE),minus,29.9997,30.0000,0.0003
Healthy,RMS Envelope (RMSE),plus,29.9997,29.9883,-0.0113
Healthy,Standard Deviation (SD),minus,30.0000,30.0000,-0.0000
Healthy,Standard Deviation (SD),plus,30.0000,30.0000,-0.0000
Healthy,Integrated EMG (IEMG),minus,30.0000,30.0000,0.0000
Healthy,Integrated EMG (IEMG),plus,30.0000,29.9999,-0.0001
Healthy,Turn Count (TC),minus,30.0000,30.0000,-0.0000
Healthy,Turn Count (TC),plus,30.0000,29.9995,-0.0005
Healthy,Willison Amplitude (WAMP),minus,30.0000,30.0000,-0.0000
Healthy,Willison Amplitude (WAMP),plus,30.0000,30.0000,-0.0000
Healthy,Motor Unit Action Potential (MUAP),minus,30.0000,29.9999,-0.0001
Healthy,Motor Unit Action Potential (MUAP),plus,30.0000,30.0000,0.0000
Healthy,Total Power (TP),minus,30.0000,29.9830,-0.0170
Healthy,Total Power (TP),plus,30.0000,30.0000,-0.0000
Healthy,Variance of Central Frequency (VCF),minus,30.0000,30.0000,-0.0000
Healthy,Variance of Central Frequency (VCF),plus,30.0000,29.9991,-0.0009
Healthy,RMS Envelope (RMSE),minus,30.0000,30.0000,-0.0000
Healthy,RMS Envelope (RMSE),plus,30.0000,29.9795,-0.0205
Healthy,Standard Deviation (SD),minus,29.9947,29.9966,0.0019
Healthy,Standard Deviation (SD),plus,29.9947,29.9906,-0.0041
Healthy,Integrated EMG (IEMG),minus,29.9947,29.9988,0.0041
Healthy,Integrated EMG (IEMG),plus,29.9947,29.9822,-0.0125
Healthy,Turn Count (TC),minus,29.9947,29.9863,-0.0084
Healthy,Turn Count (TC),plus,29.9947,29.9884,-0.0063
Healthy,Willison Amplitude (WAMP),minus,29.9947,29.9989,0.0041
Healthy,Willison Amplitude (WAMP),plus,29.9947,29.9987,0.0040
Healthy,Motor Unit Action Potential (MUAP),minus,29.9947,30.0008,0.0061
Healthy,Motor Unit Action Potential (MUAP),plus,29.9947,30.0162,0.0215
Healthy,Total Power (TP),minus,29.9947,29.9744,-0.0203
Healthy,Total Power (TP),plus,29.9947,30.0019,0.0072
Healthy,Variance of Central Frequency (VCF),minus,29.9947,29.9905,-0.0043
Healthy,Variance of Central Frequency (VCF),plus,29.9947,30.0119,0.0172
Healthy,RMS Envelope (RMSE),minus,29.9947,29.9994,0.0047
Healthy,RMS Envelope (RMSE),plus,29.9947,29.8444,-0.1504
Healthy,Standard Deviation (SD),minus,30.0006,30.0002,-0.0004
Healthy,Standard Deviation (SD),plus,30.0006,30.0019,0.0013
Healthy,Integrated EMG (IEMG),minus,30.0006,30.0003,-0.0003
Healthy,Integrated EMG (IEMG),plus,30.0006,30.0012,0.0006
Healthy,Turn Count (TC),minus,30.0006,30.0005,-0.0001
Healthy,Turn Count (TC),plus,30.0006,30.0021,0.0015
Healthy,Willison Amplitude (WAMP),minus,30.0006,30.3071,0.3065
Healthy,Willison Amplitude (WAMP),plus,30.0006,30.0000,-0.0006
